iter	Passed	Remaining
433	1514	1975
434	1517	1971
435	1521	1967
436	1524	1964
437	1530	1963
438	1534	1960
439	1537	1956
440	1540	1952
441	1543	1948
442	1546	1944
443	1549	1940
444	1553	1936
445	1556	1932
446	1559	1929
447	1562	1925
448	1565	1921
449	1568	1917
450	1571	1913
451	1575	1909
452	1578	1905
453	1581	1901
454	1584	1897
455	1587	1893
456	1590	1889
457	1596	1889
458	1602	1888
459	1605	1884
460	1608	1880
461	1611	1876
462	1614	1872
463	1617	1868
464	1620	1864
465	1626	1863
466	1632	1863
467	1635	1859
468	1639	1855
469	1642	1851
470	1648	1850
471	1651	1847
472	1654	1843
473	1657	1839
474	1660	1835
475	1663	1831
476	1666	1827
477	1669	1823
478	1673	1819
479	1677	1817
480	1680	1813
481	1683	1809
482	1686	1805
483	1690	1801
484	1693	1798
485	1696	1794
486	1700	1790
487	1703	1787
488	1706	1783
489	1709	1779
490	1712	1775
491	1715	1771
492	1718	1767
493	1722	1764
494	1725	1760
495	1728	1756
496	1731	1752
497	1734	1748
498	1737	1744
499	1740	1740
500	1743	1736
501	1746	1732
502	1750	1729
503	1753	1725
504	1757	1722
505	1760	1718
506	1763	1714
507	1766	1711
508	1769	1707
509	1772	1703
510	1775	1699
511	1779	1695
512	1782	1692
513	1785	1688
514	1788	1684
515	1791	1680
516	1794	1676
517	1797	1672
518	1801	1669
519	1804	1665
520	1807	1662
521	1810	1658
522	1814	1654
523	1817	1650
524	1820	1646
525	1823	1643
526	1826	1639
527	1829	1635
528	1832	1631
529	1835	1627
530	1838	1623
531	1841	1620
532	1844	1616
533	1848	1612
534	1855	1612
535	1863	1612
536	1866	1609
537	1869	1605
538	1872	1601
539	1875	1597
540	1878	1594
541	1881	1590
542	1884	1586
543	1887	1582
544	1891	1578
545	1894	1575
546	1897	1571
547	1900	1567
548	1903	1564
549	1906	1560
550	1910	1556
551	1913	1552
552	1916	1548
553	1919	1545
554	1922	1541
555	1930	1541
556	1933	1537
557	1936	1534
558	1939	1530
559	1943	1526
560	1946	1522
561	1949	1519
562	1952	1515
563	1961	1515
564	1977	1522
565	1980	1518
566	1983	1514
567	1986	1510
568	1989	1507
569	1992	1503
570	1995	1499
571	1999	1495
572	2002	1492
573	2005	1488
574	2008	1484
575	2011	1480
576	2014	1476
577	2017	1473
578	2021	1469
579	2024	1466
580	2027	1462
581	2030	1458
582	2033	1454
583	2036	1450
584	2040	1447
585	2043	1443
586	2046	1439
587	2049	1436
588	2052	1432
589	2055	1428
590	2059	1424
