iter	Passed	Remaining
399	72328	108492
400	72493	108288
401	72676	108110
402	72840	107905
403	73011	107710
404	73176	107506
405	73391	107376
406	73527	107129
407	73690	106923
408	73854	106718
409	74032	106534
410	74197	106331
411	74362	106129
412	74614	106050
413	74778	105846
414	74942	105641
415	75112	105446
416	75279	105246
417	75444	105044
418	75675	104933
419	75837	104728
420	76004	104529
421	76169	104326
422	76333	104123
423	76496	103920
424	76730	103811
425	76881	103591
426	77063	103412
427	77233	103218
428	77395	103013
429	77558	102810
430	77722	102608
431	77957	102499
432	78121	102297
433	78286	102096
434	78458	101905
435	78620	101702
436	78784	101500
437	78997	101362
438	79159	101158
439	79324	100958
440	79488	100757
441	79651	100555
442	79815	100355
443	80068	100265
444	80208	100035
445	80372	99835
446	80536	99635
447	80728	99469
448	80892	99268
449	81056	99069
450	81275	98935
451	81438	98734
452	81602	98535
453	81766	98336
454	81930	98137
455	82117	97964
456	82353	97851
457	82518	97653
458	82681	97452
459	82845	97253
460	83008	97053
461	83173	96855
462	83412	96743
463	83553	96519
464	83717	96319
465	83882	96123
466	84049	95928
467	84214	95730
468	84378	95532
469	84622	95425
470	84784	95225
471	84948	95027
472	85113	94830
473	85277	94632
474	85442	94436
475	85683	94323
476	85839	94118
477	86003	93920
478	86167	93722
479	86329	93523
480	86493	93326
481	86761	93241
482	86900	93018
483	87066	92822
484	87238	92634
485	87402	92438
486	87565	92239
487	87727	92042
488	88000	91959
489	88164	91763
490	88328	91566
491	88495	91373
492	88660	91178
493	88827	90984
494	89082	90882
495	89233	90672
496	89395	90474
497	89559	90278
498	89721	90081
499	89886	89886
500	90144	89785
501	90278	89559
502	90448	89369
503	90612	89174
504	90776	88979
505	90941	88784
506	91136	88619
507	91389	88511
508	91552	88314
509	91716	88120
510	91880	87924
511	92062	87747
512	92231	87557
513	92458	87421
514	92610	87215
515	92773	87020
516	92935	86823
517	93105	86634
518	93269	86440
519	93510	86317
520	93637	86089
521	93801	85894
522	93991	85724
523	94155	85530
524	94318	85335
525	94483	85142
526	94705	85001
527	94856	84795
528	95028	84609
529	95192	84416
530	95360	84226
531	95525	84033
532	95782	83921
533	95912	83699
534	96079	83507
535	96243	83315
536	96409	83123
537	96573	82930
538	96736	82737
539	96978	82611
540	97144	82420
541	97308	82227
542	97472	82035
543	97637	81843
544	97802	81652
545	98062	81538
546	98201	81326
547	98367	81135
548	98534	80945
549	98698	80753
550	98863	80562
551	99027	80370
552	99304	80269
553	99468	80077
554	99630	79884
555	99798	79695
556	99977	79515
557	100143	79325
558	100342	79161
559	100494	78959
560	100656	78766
561	100821	78575
562	100984	78384
563	101156	78199
564	101432	78093
565	101596	77902
566	101762	77712
567	101937	77530
568	102144	77371
569	102307	77179
570	102564	77058
571	102694	76841
572	102857	76649
573	103024	76460
574	103187	76269
575	103351	76078
576	103515	75887
577	103731	75734
578	103883	75535
579	104056	75350
580	104219	75159
581	104388	74972
582	104551	74781
583	104822	74667
584	104996	74484
585	105160	74294
586	105324	74103
587	105488	73913
588	105652	73723
589	105815	73533
590	106061	73399
591	106224	73209
592	106388	73018
593	106554	72830
594	106718	72640
595	106881	72449
596	107135	72321
597	107300	72131
598	107463	71941
599	107626	71751
600	107789	71560
601	107955	71372
602	108239	71261
603	108390	71064
604	108554	70874
605	108717	70684
606	108884	70496
607	109054	70311
608	109222	70124
609	109467	69987
610	109633	69799
611	109797	69610
612	109960	69420
613	110126	69232
614	110292	69044
615	110548	68913
616	110709	68722
617	110872	68533
618	111051	68353
619	111216	68164
620	111399	67987
621	111656	67855
622	111814	67663
623	111974	67471
624	112157	67294
625	112321	67105
626	112486	66918
627	112678	66745
628	112865	66570
629	113078	66411
630	113252	66228
631	113416	66039
632	113580	65851
633	113744	65663
634	113971	65511
635	114132	65321
636	114297	65133
637	114461	64945
638	114627	64758
639	114791	64570
640	115041	64430
